rf1,gwl1,rf2,gwl2,rf3,gwl3,rf4,gwl4,rf5,gwl5,rf6,gwl6,rf7,gwl7,rf8,gwl8,rf9,gwl9,rf10,gwl10,rf11,gwl11,rf12,gwl12,Inflow
114.03,7.290826,23.59,8.800361,79.6,8.311433,34.42,8.978287,36.4,9.080432,0.74,9.182695,4.64,9.288468,0.55,10.28735,12.57,10.343205,0.43,9.210017,0.0,10.300545,0.0,9.238274,14.775507367250489
88.95,6.7076,24.71,7.7929754,76.0,7.268542,54.33,7.638878,58.69,7.4455943,1.88,9.003577,7.46,8.906066,7.74,9.303991,22.18,9.283288,1.9,8.945798,0.55,9.847579,2.2,8.967429,33.921323324993054
168.92,4.8131366,33.0,6.790177,165.71,6.6706624,123.0,6.3809958,97.13,6.926206,0.53,9.059313,6.54,9.02825,3.29,9.332023,33.61,7.414755,3.31,8.7994375,0.24,9.937752,3.13,8.79876,94.19794273005284
320.34,1.4174341,129.2,1.4899492,238.71,2.12123,155.79,2.036118,174.7,1.9280779,20.4,9.503668,28.06,8.664455,42.38,11.122223,80.3,3.1908636,24.31,8.402573,18.37,8.682862,14.83,8.83413,69.99235474006116
75.32,5.8293843,25.85,5.941637,74.56,6.2441306,57.22,6.038742,21.25,6.3529024,2.99,9.688442,9.8,9.834315,1.65,9.417508,6.08,6.4823694,2.35,8.690791,0.0,8.539922,0.0,8.576825,34.69279955518488
74.44,5.8348255,20.42,6.0157375,59.59,6.4706755,37.43,6.22757,29.04,6.5678296,1.05,8.535085,2.68,9.222215,3.49,9.925113,9.71,6.8569055,2.58,8.868893,0.0,8.827006,0.0,8.783231,28.55018070614401
31.11,6.153715,4.99,6.31274,21.51,6.809741,12.75,6.560695,7.89,7.288192,0.0,8.388952,0.0,9.280626,0.0,8.173995,1.76,7.335995,0.0,8.596335,0.0,9.086389,0.0,8.946411,24.65318320822908
20.52,6.7226086,3.74,7.1514764,15.7,8.025936,9.88,7.9104614,7.49,8.52122,0.0,8.928445,0.0,9.862562,0.0,8.984603,1.83,8.083002,0.0,9.064119,0.0,9.217779,0.0,8.959802,30.72073950514317
58.11,8.211764,11.03,8.789456,34.54,8.894446,16.8,8.691114,51.93,8.469764,0.0,9.258672,9.1,10.288958,2.57,9.770111,15.96,8.891924,3.92,9.259363,0.59,9.3134775,0.7,8.820353,34.55031971087017
23.43,8.267406,4.62,8.715564,28.09,8.934871,26.1,8.809934,10.94,8.780453,0.0,9.293195,0.44,10.025595,1.25,9.692783,4.18,8.906811,0.26,9.270681,0.58,9.185654,0.11,8.930616,20.259938837920483
0.72,9.190783,0.58,9.207907,0.83,9.267964,1.33,9.220933,1.44,9.246396,0.0,9.344349,0.0,9.938536,0.0,9.662479,0.28,8.894278,0.0,9.258782,0.0,9.529367,0.0,8.9810095,17.17472894078399
14.85,8.087619,4.27,8.849452,11.43,9.061028,6.16,8.883913,3.6,9.172433,0.67,9.063235,7.88,10.26287,2.3,9.760679,0.92,8.932038,0.0,9.240984,0.0,9.635061,5.48,8.833429,12.262996941896024
0.0,8.974485,0.0,9.281024,0.49,9.290638,0.75,9.22985,1.91,9.25622,0.0,9.219992,0.49,10.091734,0.2,9.691607,3.3,8.939403,11.56,9.652284,18.08,8.580644,15.49,9.004295,10.966082846816793
5.69,8.870207,0.97,9.405379,11.0,9.190557,16.06,8.771622,20.81,8.969082,0.0,9.212982,6.81,10.270115,14.18,10.192228,18.89,8.89649,22.87,8.895577,17.28,8.725276,57.45,8.173313,10.157770364192382
2.89,9.245461,0.56,9.662891,4.51,9.307629,5.14,9.086627,2.19,9.260774,0.0,9.2119465,7.1,10.424043,0.37,10.056215,0.0,8.853888,0.0,8.964887,0.0,7.9017673,0.0,7.54767,10.61231581873784
9.05,8.906288,1.82,9.4304695,11.42,9.198981,9.11,8.921414,5.15,9.175933,0.0,9.213875,18.13,10.223602,5.83,10.538279,5.35,8.899866,1.45,9.751858,2.9,9.044812,7.33,9.236878,8.50361412288018
19.0,8.574155,3.2,9.229236,15.33,9.139436,9.72,8.8890915,8.71,9.070258,0.0,9.252522,1.96,10.103362,0.8,10.2368965,2.71,8.954647,0.0,9.850127,0.0,8.734758,0.0,8.347764,9.619127050319712
19.7,8.3868265,3.76,9.177288,22.03,9.025999,18.12,8.76564,23.46,8.95937,0.0,9.235523,2.83,10.307405,0.18,10.272579,8.78,8.8845415,0.36,10.222433,0.0,9.406801,0.0,9.588814,7.698776758409786
17.26,8.348096,4.25,9.115233,14.87,9.04642,9.74,8.807181,5.96,9.082635,0.0,9.219066,0.0,10.251063,0.0,9.979792,1.97,8.970774,0.0,9.69683,0.0,9.46158,0.0,9.673781,8.293021962746733
17.63,8.327909,3.63,9.1148815,13.82,9.056138,6.71,8.97325,4.29,9.184447,0.0,9.203812,2.34,10.196243,0.12,9.812391,0.7,8.937061,0.0,9.698737,0.0,9.530949,0.0,9.541644,7.884348067834306
22.43,8.317091,5.53,8.994132,23.72,8.9896145,19.06,8.7913265,18.23,8.912265,0.0,9.189558,4.78,10.305032,0.77,9.672712,6.16,8.920522,0.0,9.71809,0.0,9.795182,0.0,9.337256,11.428273561301088
44.72,8.668254,8.85,8.9194,38.58,9.057024,25.06,8.86707,20.1,8.899201,0.0,9.17639,0.19,9.754589,1.24,9.821463,6.13,8.90275,0.72,9.632243,0.0,9.780888,0.0,9.366723,11.830692243536278
13.99,8.340394,1.79,9.198726,10.44,9.074311,7.41,8.871349,2.9,9.229797,0.0,9.164183,0.4,9.682298,0.0,9.72412,0.56,8.926778,0.0,9.708223,0.0,9.766546,0.0,9.396569,11.647206005004172
